epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,551.616,0.33264,0.90841,0.90152,0.98798,0.98834,0.99459,0.97026,0.25615,0.35773,0.83177,0.00332972,0.00332972,0.00332972
2,1083.62,0.35841,0.40551,0.89094,0.98394,0.98774,0.99388,0.95776,0.25178,0.24634,0.84112,0.00659709,0.00659709,0.00659709
3,1615.37,0.39757,0.35171,0.90212,0.93239,0.95043,0.97579,0.91627,0.37491,0.37179,0.93824,0.00979846,0.00979846,0.00979846
4,2148.65,0.38408,0.31738,0.902,0.97106,0.97873,0.99347,0.9432,0.34469,0.2722,0.91267,0.009703,0.009703,0.009703
5,2687.92,0.33469,0.27486,0.88502,0.98054,0.95955,0.99182,0.95852,0.27774,0.25148,0.84959,0.009604,0.009604,0.009604
6,3223.37,0.30478,0.24801,0.87447,0.97671,0.91345,0.97543,0.94786,0.27128,0.33507,0.84512,0.009505,0.009505,0.009505
7,3752.3,0.28321,0.23225,0.86853,0.98483,0.97513,0.99397,0.96405,0.24818,0.19949,0.86143,0.009406,0.009406,0.009406
8,4276.74,0.26921,0.22046,0.86486,0.97899,0.96731,0.99276,0.95523,0.27369,0.22201,0.89302,0.009307,0.009307,0.009307
9,4821.83,0.25829,0.21276,0.86119,0.98468,0.97873,0.99422,0.95608,0.25323,0.20944,0.87687,0.009208,0.009208,0.009208
10,5360.67,0.24812,0.20523,0.8591,0.9778,0.97599,0.99301,0.95241,0.25897,0.20849,0.89049,0.009109,0.009109,0.009109
11,5882.51,0.24132,0.19704,0.85639,0.97234,0.97091,0.9892,0.94472,0.31782,0.25398,0.97137,0.00901,0.00901,0.00901
12,6425.75,0.23389,0.19367,0.85692,0.95236,0.95969,0.99009,0.93824,0.30313,0.28552,0.96626,0.008911,0.008911,0.008911
13,6956.87,0.22849,0.1872,0.85317,0.98558,0.98405,0.9945,0.9645,0.22407,0.16995,0.86135,0.008812,0.008812,0.008812
14,7484.13,0.22173,0.18194,0.8533,0.98636,0.98019,0.99444,0.97373,0.20473,0.15965,0.85042,0.008713,0.008713,0.008713
15,8015.16,0.21663,0.17866,0.85073,0.97434,0.98366,0.99375,0.95583,0.25878,0.1988,0.91243,0.008614,0.008614,0.008614
16,8543.18,0.21406,0.17513,0.85184,0.98964,0.98347,0.99459,0.97143,0.22579,0.15487,0.87438,0.008515,0.008515,0.008515
17,9075.73,0.20762,0.17171,0.8495,0.98216,0.97787,0.99414,0.97664,0.2025,0.16812,0.84761,0.008416,0.008416,0.008416
18,9597.86,0.20318,0.16597,0.84664,0.98509,0.98612,0.994,0.96399,0.21994,0.16516,0.86976,0.008317,0.008317,0.008317
