epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,804.882,0.35323,0.96192,0.91446,0.98603,0.97633,0.99418,0.96928,0.24531,0.363,0.83432,0.00332972,0.00332972,0.00332972
2,1518.47,0.37699,0.44082,0.90137,0.98207,0.96998,0.99239,0.93129,0.34164,0.30262,0.91201,0.00663007,0.00663007,0.00663007
3,2164.48,0.42654,0.38822,0.92048,0.98322,0.98216,0.99278,0.94138,0.33891,0.27843,0.89392,0.00989742,0.00989742,0.00989742
4,2878.93,0.41929,0.3524,0.91845,0.98572,0.97064,0.99316,0.96278,0.27669,0.24672,0.84256,0.0098515,0.0098515,0.0098515
5,3605.92,0.36119,0.29811,0.89553,0.97625,0.96175,0.98731,0.94703,0.29479,0.24513,0.89091,0.009802,0.009802,0.009802
6,4302.86,0.33426,0.27427,0.88965,0.97934,0.97616,0.99279,0.9498,0.30698,0.22789,0.90038,0.0097525,0.0097525,0.0097525
7,5019.58,0.3147,0.25706,0.88263,0.96664,0.97033,0.9926,0.95666,0.29647,0.24904,0.89568,0.009703,0.009703,0.009703
8,5729.97,0.29918,0.24368,0.87815,0.99076,0.97491,0.99433,0.96929,0.23561,0.20018,0.8553,0.0096535,0.0096535,0.0096535
9,6450.86,0.28546,0.2317,0.87249,0.98775,0.97787,0.99431,0.96758,0.23341,0.18237,0.84465,0.009604,0.009604,0.009604
10,7146.84,0.27848,0.22819,0.87138,0.98914,0.98148,0.99444,0.96264,0.24011,0.17734,0.86675,0.0095545,0.0095545,0.0095545
11,7865.39,0.26894,0.21791,0.86938,0.98391,0.96827,0.99314,0.954,0.25094,0.22568,0.87801,0.009505,0.009505,0.009505
12,8560.3,0.26196,0.21264,0.86708,0.98632,0.9813,0.99357,0.97468,0.19664,0.16761,0.82033,0.0094555,0.0094555,0.0094555
13,9267.35,0.25858,0.21064,0.86783,0.98005,0.97745,0.99358,0.96041,0.25526,0.20341,0.87155,0.009406,0.009406,0.009406
14,9966.84,0.25059,0.20596,0.86375,0.98228,0.96981,0.99329,0.96313,0.23851,0.20157,0.87297,0.0093565,0.0093565,0.0093565
15,10682.5,0.24218,0.1988,0.86014,0.98956,0.97702,0.99416,0.96667,0.22401,0.17508,0.85593,0.009307,0.009307,0.009307
16,11387.2,0.23989,0.19567,0.85975,0.98288,0.98302,0.99409,0.96128,0.24667,0.19246,0.88149,0.0092575,0.0092575,0.0092575
17,12076,0.23742,0.19425,0.85894,0.99477,0.978,0.99442,0.9838,0.17145,0.13927,0.80383,0.009208,0.009208,0.009208
18,12778.9,0.23318,0.19034,0.85645,0.99223,0.97839,0.99447,0.96973,0.20382,0.15198,0.83992,0.0091585,0.0091585,0.0091585
19,13482.6,0.23205,0.19076,0.85921,0.99431,0.98979,0.9949,0.98571,0.17153,0.12704,0.80545,0.009109,0.009109,0.009109
20,14188.1,0.22608,0.1871,0.85545,0.99513,0.98127,0.9947,0.98674,0.15557,0.13036,0.79537,0.0090595,0.0090595,0.0090595
21,14895.1,0.22394,0.18405,0.85368,0.99206,0.98902,0.99482,0.98595,0.17154,0.12432,0.81195,0.00901,0.00901,0.00901
22,15603.3,0.22067,0.18097,0.85343,0.99187,0.98403,0.99468,0.98326,0.17205,0.14066,0.82158,0.0089605,0.0089605,0.0089605
23,16317.4,0.2201,0.18404,0.85442,0.99215,0.98542,0.99468,0.98215,0.17924,0.14262,0.82263,0.008911,0.008911,0.008911
